,val_loss,val_matthews_correlation,val_runtime,val_samples_per_second,val_steps_per_second,test_matthews_corrcoef,total_param_reduction,embedding_param_reduction,model_only_param_reduction,vocab_reduction,val_accuracy,test_accuracy_score,val_f1,test_f1_score,test_precision,test_recall,val_pearson,val_spearmanr,test_pearsonr,test_spearmanr
cola,0.4409,0.5665,1.7126,609.005,5.255,0.6148,23.24,89.79,0.04,89.79,,,,,,,,,,
mnli,0.3171,,6.3109,1555.252,12.201,,10.54,40.67,0.04,40.67,0.8815,0.8784,,,,,,,,
mrpc,0.394,,0.9492,429.835,4.214,,20.0,77.24,0.04,77.24,0.8235,0.8338,0.8763,0.8778,0.8725,0.8831,,,,
qnli,0.1945,,3.9721,1375.341,10.825,,10.28,39.66,0.04,39.66,0.9264,0.9194,,,,,,,,
qqp,0.237,,23.7936,1699.193,13.281,,8.98,34.61,0.04,34.61,0.9,0.9057,0.8595,0.8682,0.8976,0.8406,,,,
rte,0.6714,,0.8439,328.241,3.555,,18.8,72.61,0.04,72.61,0.6209,0.5542,,,,,,,,
sst2,0.1731,,3.7097,235.057,1.887,,20.23,78.13,0.04,78.13,0.9369,0.9234,,,,,,,,
stsb,0.5472,,1.6277,921.518,7.372,,20.16,77.86,0.04,77.86,,,,,,,0.8705,0.8692,0.903,0.8875
wnli,0.7121,,0.7539,94.183,1.327,,25.18,97.28,0.04,97.28,0.5634,0.5156,,,,,,,,
