,val_loss,val_matthews_correlation,val_runtime,val_samples_per_second,val_steps_per_second,test_matthews_corrcoef,total_param_reduction,embedding_param_reduction,model_only_param_reduction,vocab_reduction,val_accuracy,test_accuracy_score,val_f1,test_f1_score,test_precision,test_recall,val_pearson,val_spearmanr,test_pearsonr,test_spearmanr
cola,0.4892,0.461,1.5014,694.687,5.994,0.4704,23.27,89.89,0.04,89.89,,,,,,,,,,
mnli,0.4207,,6.5768,1492.376,11.708,,10.57,40.77,0.04,40.77,0.8352,0.8317,,,,,,,,
mrpc,0.4116,,0.9418,433.221,4.247,,20.02,77.34,0.04,77.34,0.8186,0.7984,0.8697,0.8514,0.848,0.8548,,,,
qnli,0.2383,,4.0032,1364.668,10.741,,10.31,39.76,0.04,39.76,0.901,0.8948,,,,,,,,
qqp,0.2514,,23.8682,1693.888,13.239,,9.01,34.71,0.04,34.71,0.8986,0.9016,0.8662,0.8702,0.8485,0.8931,,,,
rte,0.6826,,0.8622,321.281,3.48,,18.83,72.7,0.04,72.7,0.574,0.5221,,,,,,,,
sst2,0.2551,,1.5084,578.103,4.641,,20.25,78.23,0.04,78.23,0.8979,0.9112,,,,,,,,
stsb,0.6656,,1.742,861.102,6.889,,20.18,77.96,0.04,77.96,,,,,,,0.8396,0.8373,0.8449,0.8301
wnli,0.7262,,1.4719,48.236,0.679,,25.2,97.38,0.04,97.38,0.4366,0.3594,,,,,,,,
