,val_loss,val_matthews_correlation,val_runtime,val_samples_per_second,val_steps_per_second,test_matthews_corrcoef,total_param_reduction,embedding_param_reduction,model_only_param_reduction,vocab_reduction,val_accuracy,test_accuracy_score,val_f1,test_f1_score,test_precision,test_recall,val_pearson,val_spearmanr,test_pearsonr,test_spearmanr
cola,0.4495,0.5158,1.1441,911.637,7.866,0.5395,23.24,89.79,0.04,89.79,,,,,,,,,,
mnli,0.3072,,6.9807,1406.023,11.03,,10.54,40.67,0.04,40.67,0.8824,0.8813,,,,,,,,
mrpc,0.3896,,0.8082,504.842,4.949,,20.0,77.24,0.04,77.24,0.8309,0.8283,0.8761,0.8696,0.8936,0.8468,,,,
qnli,0.1894,,3.4005,1606.529,12.645,,10.28,39.66,0.04,39.66,0.9229,0.9183,,,,,,,,
qqp,0.2344,,20.4617,1975.884,15.443,,8.98,34.61,0.04,34.61,0.9124,0.9163,0.8802,0.8862,0.8896,0.8828,,,,
rte,0.6958,,0.7637,362.693,3.928,,18.8,72.61,0.04,72.61,0.5812,0.5382,,,,,,,,
sst2,0.1717,,1.0405,838.021,6.727,,20.23,78.13,0.04,78.13,0.9312,0.9378,,,,,,,,
stsb,0.5131,,1.4181,1057.724,8.462,,20.16,77.86,0.04,77.86,,,,,,,0.8787,0.8769,0.9058,0.8924
wnli,0.7169,,0.6431,110.41,1.555,,25.18,97.28,0.04,97.28,0.5493,0.4844,,,,,,,,
