,val_loss,val_matthews_correlation,val_runtime,val_samples_per_second,val_steps_per_second,test_matthews_corrcoef,total_param_reduction,embedding_param_reduction,model_only_param_reduction,vocab_reduction,val_accuracy,test_accuracy_score,val_f1,test_f1_score,test_precision,test_recall,val_pearson,val_spearmanr,test_pearsonr,test_spearmanr
cola,0.415,0.5859,1.4075,741.05,6.394,0.6118,0.03,0.0,0.04,0.0,,,,,,,,,,
mnli,0.3031,,6.8485,1433.158,11.243,,0.03,0.0,0.04,0.0,0.8834,0.8809,,,,,,,,
mrpc,0.3757,,1.3879,293.971,2.882,,0.03,0.0,0.04,0.0,0.8431,0.8556,0.8923,0.8971,0.8652,0.9315,,,,
qnli,0.1813,,3.8364,1423.99,11.208,,0.03,0.0,0.04,0.0,0.9288,0.9163,,,,,,,,
qqp,0.2328,,23.9786,1686.084,13.178,,0.03,0.0,0.04,0.0,0.9113,0.9168,0.8809,0.8888,0.8777,0.9001,,,,
rte,0.6746,,0.8371,330.919,3.584,,0.03,0.0,0.04,0.0,0.6245,0.5984,,,,,,,,
sst2,0.1541,,1.1757,741.664,5.954,,0.03,0.0,0.04,0.0,0.9576,0.9509,,,,,,,,
stsb,0.4238,,1.5288,981.188,7.85,,0.03,0.0,0.04,0.0,,,,,,,0.9022,0.901,0.9168,0.903
