,val_loss,val_matthews_correlation,val_runtime,val_samples_per_second,val_steps_per_second,test_matthews_corrcoef,total_param_reduction,embedding_param_reduction,model_only_param_reduction,vocab_reduction,val_accuracy,test_accuracy_score,val_f1,test_f1_score,test_precision,test_recall,val_pearson,val_spearmanr,test_pearsonr,test_spearmanr
cola,0.4706,0.4523,1.3731,759.578,6.554,0.5196,23.27,89.89,0.04,89.89,,,,,,,,,,
mnli,0.3237,,6.4256,1527.475,11.983,,10.57,40.77,0.04,40.77,0.8802,0.8749,,,,,,,,
mrpc,0.4728,,1.2163,335.434,3.289,,20.02,77.34,0.04,77.34,0.8113,0.8065,0.8637,0.8616,0.834,0.8911,,,,
qnli,0.1971,,3.832,1425.617,11.221,,10.31,39.76,0.04,39.76,0.9295,0.9174,,,,,,,,
qqp,0.2424,,24.0379,1681.926,13.146,,9.01,34.71,0.04,34.71,0.8986,0.9003,0.8562,0.8591,0.899,0.8226,,,,
rte,0.6706,,0.9518,291.023,3.152,,18.83,72.7,0.04,72.7,0.5921,0.6064,,,,,,,,
sst2,0.1701,,1.551,562.219,4.513,,20.25,78.23,0.04,78.23,0.9427,0.9329,,,,,,,,
stsb,0.5533,,1.7741,845.509,6.764,,20.18,77.96,0.04,77.96,,,,,,,0.8697,0.8671,0.9012,0.8871
wnli,0.7304,,0.8103,87.617,1.234,,25.2,97.38,0.04,97.38,0.5211,0.4844,,,,,,,,
