,val_loss,val_matthews_correlation,val_runtime,val_samples_per_second,val_steps_per_second,test_matthews_corrcoef,total_param_reduction,embedding_param_reduction,model_only_param_reduction,vocab_reduction,val_accuracy,test_accuracy_score,val_f1,test_f1_score,test_precision,test_recall,val_pearson,val_spearmanr,test_pearsonr,test_spearmanr
cola,0.447,0.4882,1.6786,621.364,5.362,0.4673,23.27,89.89,0.04,89.89,,,,,,,,,,
mnli,0.3102,,6.6669,1472.19,11.55,,10.57,40.77,0.04,40.77,0.8802,0.8802,,,,,,,,
mrpc,0.4136,,0.9593,425.307,4.17,,20.02,77.34,0.04,77.34,0.8162,0.812,0.8709,0.8681,0.8255,0.9153,,,,
qnli,0.1856,,3.7744,1447.393,11.393,,10.31,39.76,0.04,39.76,0.9304,0.9199,,,,,,,,
qqp,0.2326,,23.7428,1702.831,13.309,,9.01,34.71,0.04,34.71,0.9125,0.9159,0.8807,0.8859,0.888,0.8838,,,,
rte,0.698,,0.9263,299.046,3.239,,18.83,72.7,0.04,72.7,0.6101,0.5422,,,,,,,,
sst2,0.1635,,1.5584,559.535,4.492,,20.25,78.23,0.04,78.23,0.9472,0.9428,,,,,,,,
stsb,0.559,,1.5777,950.728,7.606,,20.18,77.96,0.04,77.96,,,,,,,0.8683,0.8669,0.9049,0.8927
wnli,0.7205,,1.0834,65.536,0.923,,25.2,97.38,0.04,97.38,0.5493,0.4688,,,,,,,,
