,val_loss,val_matthews_correlation,val_runtime,val_samples_per_second,val_steps_per_second,test_matthews_corrcoef,total_param_reduction,embedding_param_reduction,model_only_param_reduction,vocab_reduction,val_accuracy,test_accuracy_score,val_f1,test_f1_score,test_precision,test_recall,val_pearson,val_spearmanr,test_pearsonr,test_spearmanr
cola,0.526,0.3965,1.3335,782.146,6.749,0.5092,22.61,87.36,0.04,87.36,,,,,,,,,,
mnli,0.3016,,6.3265,1551.413,12.171,,6.74,25.96,0.04,25.96,0.8855,0.8832,,,,,,,,
mrpc,0.3681,,0.9878,413.053,4.05,,18.56,71.67,0.04,71.67,0.8333,0.8311,0.8759,0.867,0.9266,0.8145,,,,
qnli,0.1871,,3.8786,1408.499,11.086,,6.42,24.7,0.04,24.7,0.9259,0.9152,,,,,,,,
qqp,0.2245,,24.0063,1684.143,13.163,,4.79,18.39,0.04,18.39,0.9132,0.9173,0.884,0.8901,0.8739,0.9069,,,,
rte,0.6723,,0.8245,335.95,3.638,,17.06,65.88,0.04,65.88,0.6534,0.5984,,,,,,,,
sst2,0.1675,,1.4063,620.074,4.978,,18.85,72.78,0.04,72.78,0.9484,0.9503,,,,,,,,
stsb,0.5157,,1.8205,823.964,6.592,,18.76,72.45,0.04,72.45,,,,,,,0.8798,0.8787,0.9174,0.9058
wnli,0.7027,,0.7496,94.72,1.334,,25.03,96.72,0.04,96.72,0.5352,0.5,,,,,,,,
