,val_loss,val_accuracy,val_runtime,val_samples_per_second,val_steps_per_second,test_accuracy_score,total_param_reduction,embedding_param_reduction,model_only_param_reduction,vocab_reduction,val_f1,test_f1_score,test_precision,test_recall
mnli,0.3718,0.854,6.5039,1509.105,11.839,0.8599,20.02,77.35,0.04,77.35,,,,
qqp,0.2544,0.8903,22.9195,1764.003,13.787,0.8982,20.03,77.35,0.04,77.35,0.8433,0.8558,0.8976,0.8176
qnli,0.2175,0.9191,3.765,1450.99,11.421,0.9085,20.03,77.35,0.04,77.35,,,,
rte,0.6793,0.5704,1.0654,259.989,2.816,0.5743,20.02,77.34,0.04,77.34,,,,
