,val_loss,val_accuracy,val_runtime,val_samples_per_second,val_steps_per_second,test_accuracy_score,total_param_reduction,embedding_param_reduction,model_only_param_reduction,vocab_reduction,val_f1,test_f1_score,test_precision,test_recall
mnli,0.6673,0.7096,6.6642,1472.796,11.554,0.712,10.57,40.77,0.04,40.77,,,,
qqp,0.3032,0.8688,25.2977,1598.168,12.491,0.8748,9.01,34.71,0.04,34.71,0.8227,0.8322,0.8241,0.8405
qnli,0.3405,0.8558,4.0154,1360.5,10.709,0.8364,10.31,39.76,0.04,39.76,,,,
rte,0.6973,0.5596,0.8901,311.215,3.371,0.51,18.83,72.7,0.04,72.7,,,,
